x	y
0.472	1.89394
0.473	1.89753
0.474	1.90114
0.475	1.90476
0.476	1.9084
0.477	1.91205
0.478	1.91571
0.479	1.91939
0.48	1.92308
0.481	1.92678
0.482	1.9305
0.483	1.93424
0.484	1.93798
0.485	1.94175
0.486	1.94553
0.487	1.94932
0.488	1.95312
0.489	1.95695
0.49	1.96078
0.491	1.96464
0.492	1.9685
0.493	1.97239
0.494	1.97628
0.495	1.9802
0.496	1.98413
0.497	1.98807
0.498	1.99203
0.499	1.99601
0.5	2
0.501	2.00401
0.502	2.00803
0.503	2.01207
0.504	2.01613
0.505	2.0202
0.506	2.02429
0.507	2.0284
0.508	2.03252
0.509	2.03666
0.51	2.04082
0.511	2.04499
0.512	2.04918
0.513	2.05339
0.514	2.05761
0.515	2.06186
0.516	2.06612
0.517	2.07039
0.518	2.07469
0.519	2.079
0.52	2.08333
0.521	2.08768
0.522	2.09205
0.523	2.09644
0.524	2.10084
0.525	2.10526
0.526	2.1097
0.527	2.11416
0.528	2.11864
0.529	2.12314
0.53	2.12766
0.531	2.1322
0.532	2.13675
0.533	2.14133
0.534	2.14592
0.535	2.15054
0.536	2.15517
0.537	2.15983
0.538	2.1645
0.539	2.1692
0.54	2.17391
0.541	2.17865
0.542	2.18341
0.543	2.18818
0.544	2.19298
0.545	2.1978
0.546	2.20264
0.547	2.20751
0.548	2.21239
0.549	2.21729
0.55	2.22222
0.551	2.22717
0.552	2.23214
0.553	2.23714
0.554	2.24215
0.555	2.24719
0.556	2.25225
0.557	2.25734
0.558	2.26244
0.559	2.26757
0.56	2.27273
0.561	2.2779
0.562	2.28311
0.563	2.28833
0.564	2.29358
0.565	2.29885
0.566	2.30415
0.567	2.30947
0.568	2.31481
0.569	2.32019
0.57	2.32558
0.571	2.331
0.572	2.33645
0.573	2.34192
0.574	2.34742
0.575	2.35294
0.576	2.35849
0.577	2.36407
0.578	2.36967
0.579	2.3753
0.58	2.38095
0.581	2.38663
0.582	2.39234
0.583	2.39808
0.584	2.40385
0.585	2.40964
0.586	2.41546
0.587	2.42131
0.588	2.42718
0.589	2.43309
0.59	2.43902
0.591	2.44499
0.592	2.45098
0.593	2.457
0.594	2.46305
0.595	2.46914
0.596	2.47525
0.597	2.48139
0.598	2.48756
0.599	2.49377
0.6	2.5
0.601	2.50627
0.602	2.51256
0.603	2.51889
0.604	2.52525
0.605	2.53165
0.606	2.53807
0.607	2.54453
0.608	2.55102
0.609	2.55754
0.61	2.5641
0.611	2.57069
0.612	2.57732
0.613	2.58398
0.614	2.59067
0.615	2.5974
0.616	2.60417
0.617	2.61097
0.618	2.6178
0.619	2.62467
0.62	2.63158
0.621	2.63852
0.622	2.6455
0.623	2.65252
0.624	2.65957
0.625	2.66667
0.626	2.6738
0.627	2.68097
0.628	2.68817
0.629	2.69542
0.63	2.7027
0.631	2.71003
0.632	2.71739
0.633	2.7248
0.634	2.73224
0.635	2.73973
0.636	2.74725
0.637	2.75482
0.638	2.76243
0.639	2.77008
0.64	2.77778
0.641	2.78552
0.642	2.7933
0.643	2.80112
0.644	2.80899
0.645	2.8169
0.646	2.82486
0.647	2.83286
0.648	2.84091
0.649	2.849
0.65	2.85714
0.651	2.86533
0.652	2.87356
0.653	2.88184
0.654	2.89017
0.655	2.89855
0.656	2.90698
0.657	2.91545
0.658	2.92398
0.659	2.93255
0.66	2.94118
0.661	2.94985
0.662	2.95858
0.663	2.96736
0.664	2.97619
0.665	2.98507
0.666	2.99401
0.667	3.003
0.668	3.01205
0.669	3.02115
0.67	3.0303
0.671	3.03951
0.672	3.04878
0.673	3.0581
0.674	3.06748
0.675	3.07692
0.676	3.08642
0.677	3.09598
0.678	3.10559
0.679	3.11526
0.68	3.125
0.681	3.1348
0.682	3.14465
0.683	3.15457
0.684	3.16456
0.685	3.1746
0.686	3.18471
0.687	3.19489
0.688	3.20513
0.689	3.21543
0.69	3.22581
0.691	3.23625
0.692	3.24675
0.693	3.25733
0.694	3.26797
0.695	3.27869
0.696	3.28947
0.697	3.30033
0.698	3.31126
0.699	3.32226
0.7	3.33333
0.701	3.34448
0.702	3.3557
0.703	3.367
0.704	3.37838
0.705	3.38983
0.706	3.40136
0.707	3.41297
0.708	3.42466
0.709	3.43643
0.71	3.44828
0.711	3.46021
0.712	3.47222
0.713	3.48432
0.714	3.4965
0.715	3.50877
0.716	3.52113
0.717	3.53357
0.718	3.5461
0.719	3.55872
0.72	3.57143
0.721	3.58423
0.722	3.59712
0.723	3.61011
0.724	3.62319
0.725	3.63636
0.726	3.64964
0.727	3.663
0.728	3.67647
0.729	3.69004
0.73	3.7037
0.731	3.71747
0.732	3.73134
0.733	3.74532
0.734	3.7594
0.735	3.77358
0.736	3.78788
0.737	3.80228
0.738	3.81679
0.739	3.83142
0.74	3.84615
0.741	3.861
0.742	3.87597
0.743	3.89105
0.744	3.90625
0.745	3.92157
0.746	3.93701
0.747	3.95257
0.748	3.96825
0.749	3.98406
0.75	4
0.751	4.01606
0.752	4.03226
0.753	4.04858
0.754	4.06504
0.755	4.08163
0.756	4.09836
0.757	4.11523
0.758	4.13223
0.759	4.14938
0.76	4.16667
0.761	4.1841
0.762	4.20168
0.763	4.21941
0.764	4.23729
0.765	4.25532
0.766	4.2735
0.767	4.29185
0.768	4.31034
0.769	4.329
0.77	4.34783
0.771	4.36681
0.772	4.38596
0.773	4.40529
0.774	4.42478
0.775	4.44444
0.776	4.46429
0.777	4.4843
0.778	4.5045
0.779	4.52489
0.78	4.54545
0.781	4.56621
0.782	4.58716
0.783	4.60829
0.784	4.62963
0.785	4.65116
0.786	4.6729
0.787	4.69484
0.788	4.71698
0.789	4.73934
0.79	4.7619
0.791	4.78469
0.792	4.80769
0.793	4.83092
0.794	4.85437
0.795	4.87805
0.796	4.90196
0.797	4.92611
0.798	4.9505
0.799	4.97512
0.8	5
0.801	5.02513
0.802	5.05051
0.803	5.07614
0.804	5.10204
0.805	5.12821
0.806	5.15464
0.807	5.18135
0.808	5.20833
0.809	5.2356
0.81	5.26316
0.811	5.29101
0.812	5.31915
0.813	5.34759
0.814	5.37634
0.815	5.40541
0.816	5.43478
0.817	5.46448
0.818	5.49451
0.819	5.52486
0.82	5.55556
0.821	5.58659
0.822	5.61798
0.823	5.64972
0.824	5.68182
0.825	5.71429
0.826	5.74713
0.827	5.78035
0.828	5.81395
0.829	5.84795
0.83	5.88235
0.831	5.91716
0.832	5.95238
0.833	5.98802
0.834	6.0241
0.835	6.06061
0.836	6.09756
0.837	6.13497
0.838	6.17284
0.839	6.21118
0.84	6.25
0.841	6.28931
0.842	6.32911
0.843	6.36943
0.844	6.41026
0.845	6.45161
0.846	6.49351
0.847	6.53595
0.848	6.57895
0.849	6.62252
0.85	6.66667
0.851	6.71141
0.852	6.75676
0.853	6.80272
0.854	6.84932
0.855	6.89655
0.856	6.94444
0.857	6.99301
0.858	7.04225
0.859	7.0922
0.86	7.14286
0.861	7.19424
0.862	7.24638
0.863	7.29927
0.864	7.35294
0.865	7.40741
0.866	7.46269
0.867	7.5188
0.868	7.57576
0.869	7.63359
0.87	7.69231
0.871	7.75194
0.872	7.8125
0.873	7.87402
0.874	7.93651
0.875	8
0.876	8.06452
0.877	8.13008
0.878	8.19672
0.879	8.26446
0.88	8.33333
0.881	8.40336
0.882	8.47458
0.883	8.54701
0.884	8.62069
0.885	8.69565
0.886	8.77193
0.887	8.84956
0.888	8.92857
0.889	9.00901
0.89	9.09091
0.891	9.17431
0.892	9.25926
0.893	9.34579
0.894	9.43396
0.895	9.52381
0.896	9.61538
0.897	9.70874
0.898	9.80392
0.899	9.90099
0.9	10
0.901	10.101
0.902	10.2041
0.903	10.3093
0.904	10.4167
0.905	10.5263
0.906	10.6383
0.907	10.7527
0.908	10.8696
0.909	10.989
0.91	11.1111
0.911	11.236
0.912	11.3636
0.913	11.4943
0.914	11.6279
0.915	11.7647
0.916	11.9048
0.917	12.0482
0.918	12.1951
0.919	12.3457
0.92	12.5
0.921	12.6582
0.922	12.8205
0.923	12.987
0.924	13.1579
0.925	13.3333
0.926	13.5135
0.927	13.6986
0.928	13.8889
0.929	14.0845
0.93	14.2857
0.931	14.4928
0.932	14.7059
0.933	14.9254
0.934	15.1515
0.935	15.3846
0.936	15.625
0.937	15.873
0.938	16.129
0.939	16.3934
0.94	16.6667
0.941	16.9492
0.942	17.2414
0.943	17.5439
0.944	17.8571
0.945	18.1818
0.946	18.5185
0.947	18.8679
0.948	19.2308
0.949	19.6078
0.95	20
0.951	20.4082
0.952	20.8333
0.953	21.2766
0.954	21.7391
0.955	22.2222
0.956	22.7273
0.957	23.2558
0.958	23.8095
0.959	24.3902
0.96	25
0.961	25.641
0.962	26.3158
0.963	27.027
0.964	27.7778
0.965	28.5714
0.966	29.4118
0.967	30.303
0.968	31.25
0.969	32.2581
0.97	33.3333
0.971	34.4828
0.972	35.7143
0.973	37.037
0.974	38.4615
0.975	40
0.976	41.6667
0.977	43.4783
0.978	45.4545
0.979	47.619
0.98	50
0.981	52.6316
0.982	55.5556
0.983	58.8235
0.984	62.5
0.985	66.6667
0.986	71.4286
0.987	76.9231
0.988	83.3333
0.989	90.9091
0.99	100
0.991	111.111
0.992	125
0.993	142.857
0.994	166.667
0.995	200
0.996	250
0.997	333.333
0.998	500
0.999	999.999
1	1.60664e+09
